source,source_id,name,aliases,raw_classes,piru_category,default_route,routes,units,dose_threshold,dose_light,dose_common,dose_strong,dose_heavy,onset,peak,total_duration,half_life_min,mechanism_summary,effects,indications,contraindications,regulatory_status,cas_no,chemical_formula,tags,sources_count,notes
benzos-cited,66f942b1febd4e799dc55a09,Phenazepam,,benzodiazepine; research-chemical; habit-forming; depressant,Benzodiazepine,oral,oral,mg,,0.5-1,1-2,,2-4,15-60 minutes,,18+ hours,,,"Anxiolytic, Sedative, Muscle Relaxant, Amnesia, Dystaxia, Hypnotic",,,,,,,0,"A very long acting, potent and subtle benzodiazepine. Infamous for the calamitous experiences it tends to produce in people dosing unknown amounts. Prescribed in certain countries for epilepsy and alcohol withdrawal. | Avoid: All other CNS depressants. | Phenazepam - ~1mg ~=10mg Diazepam. | After-effects: 36+ hours"
benzos-cited,66f942b1febd4e799dc55a0a,Pozapam,,,Other,oral,oral,mg,,5-10,10-20,20-40,,,,,,,,,,,,,,0,"Benzodiazepine dervative. Has all the normal benzodiazepine-like quality (Anxiolytic/anticonvulsant/sedative/Skeletal muscle relaxant) It is also a prodrug for Desmethyldiazepam which is responsible for most if not all of the effects of Prazepam. | Avoid: All other CNS depressants, and Cimetidine | Prazepam - 15mg ~=10mg Diazepam."
benzos-cited,66f942b1febd4e799dc55a0b,Prasepine,,,Other,oral,oral,mg,,5-10,10-20,20-40,,,,,,,,,,,,,,0,"Benzodiazepine dervative. Has all the normal benzodiazepine-like quality (Anxiolytic/anticonvulsant/sedative/Skeletal muscle relaxant) It is also a prodrug for Desmethyldiazepam which is responsible for most if not all of the effects of Prazepam. | Avoid: All other CNS depressants, and Cimetidine | Prazepam - 15mg ~=10mg Diazepam."
benzos-cited,66f942b1febd4e799dc55a0c,Prazene,,,Other,oral,oral,mg,,5-10,10-20,20-40,,,,,,,,,,,,,,0,"Benzodiazepine dervative. Has all the normal benzodiazepine-like quality (Anxiolytic/anticonvulsant/sedative/Skeletal muscle relaxant) It is also a prodrug for Desmethyldiazepam which is responsible for most if not all of the effects of Prazepam. | Avoid: All other CNS depressants, and Cimetidine | Prazepam - 15mg ~=10mg Diazepam."
benzos-cited,66f942b1febd4e799dc55a0d,Prazepam,centrac; centrax; demetrin; lysanxia; pozapam; prasepine; prazene; reapam; trepidan,benzodiazepine; depressant; habit-forming,Benzodiazepine,oral,oral,mg,,5-10,10-20,20-40,,45-120 minutes,,8-20 hours,,,"Anxiolytic, Anticonvulsant, Sedative, Skeletal Muscle Relaxant",,,,,,,0,"Benzodiazepine dervative. Has all the normal benzodiazepine-like quality (Anxiolytic/anticonvulsant/sedative/Skeletal muscle relaxant) It is also a prodrug for Desmethyldiazepam which is responsible for most if not all of the effects of Prazepam. | Avoid: All other CNS depressants, and Cimetidine | Prazepam - 15mg ~=10mg Diazepam. | After-effects: 8-24 hours"
benzos-cited,66f942b1febd4e799dc55a0e,Prazolam,,,Other,oral,oral,mg,,0.25-0.5,0.5-1.5,1.5-2,2,,,,,,,,,,,,,0,"An extremely common benzodiazepine better known as Xanax, frequently prescribed for the treatment of anxiety and panic disorders. Alprazolam is short-lasting and primarily anxiolytic, though also possesses hypnotic properties. At high doses amnesia and loss of inhibition are common. Do not mix with other depressants. | Avoid: When taken for a long period of time, abrupt discontinuation is highly unadvised. Avoid combining other depressants such as Alcohol. | Alprazolam - 0.5mg ~=10mg Diazepam."
benzos-cited,66f942b1febd4e799dc55a0f,Prosom,,,Other,oral,oral,mg,,0.5-1,1-2,2-4,,,,,,,,,,,,,,0,"A rarely prescribed medium-duration prescription benzodiazepine. Mainly used as a hypnotic, it can cause amnesia and lowered inhibitions in excess. | Avoid: All other CNS depressants. | Estazolam - 1-2mg's ~=10mg Diazepam."
benzos-cited,66f942b1febd4e799dc55a10,Pyrazolam,,benzodiazepine; research-chemical; habit-forming; depressant,Benzodiazepine,oral,oral,mg,,1-2,2-3,3-4,,,,,,,"Anxiolytic, Sedative, Muscle Relaxant, Amnesia, Dystaxia",,,,,,,0,"RC benzodiazepine discovered by Hoffman-LaRoche in the 1970s. Came to the RC market in the early 2010s. At lower doses it is mainly an anxiolytic compound, yet at higher doses can be quite sedating, hypnotic, amnesic, and can cause loss of inhibitions. Structurally similar to Alprazolam, Bromazepam, and Triazolam. Is 12x as potent as Diazepam. | Pyrazolam - 1-2mg ~=10mg Diazepam. | After-effects: 1-12 hours"
benzos-cited,66f942b1febd4e799dc55a11,Quazepam,doral,benzodiazepine; depressant; habit-forming,Benzodiazepine,oral,oral,mg,,7.5-10,10-15,15-30,,10-30 minutes,,6-12 hours,,,,,,,,,,0,"Benzodiazepine derivate drug, noral is prescribed for short term treatment of insomnia, and sleep maintenance. its MOA is very similar to Ambien and Sonata and substitutes for those in animal studies. | Quazepam - 20mg ~=10mg Diazepam. | After-effects: 1-24 hours"
benzos-cited,66f942b1febd4e799dc55a12,Raporan,,,Other,oral,oral,mg,,5-10,10-20,20-40,,,,,,,,,,,,,,0,Benzodiazepine derivative that has all of the classic benzodiazepine effects. Is a long-acting benzodiazepine drug (Half life of 36-200 hours) Is rarely prescribed in most countries. Is also a prodrug for Diazepam. Think of it as Desoxy-Diazepam if you'd like to. | Avoid: All other CNS depressants. | Medazepam - 10mg ~=10mg Diazepam.
