source,source_id,name,aliases,raw_classes,piru_category,default_route,routes,units,dose_threshold,dose_light,dose_common,dose_strong,dose_heavy,onset,peak,total_duration,half_life_min,mechanism_summary,effects,indications,contraindications,regulatory_status,cas_no,chemical_formula,tags,sources_count,notes
pyrls,639e391cfcae6920598b53e1,Bisoprolol,Zebeta,Beta-Blocker; Beta-1 Selective,Other,oral,oral,,,,,,,,,,,Blocks beta-1 adrenergic receptors (cardioselective) causing decreased heart rate and myocardial contractility.,,Treatment of hypertension,"Sinus bradycardia, heart block greater than first degree, cardiogenic shock, or overt cardiac failure; Hypersensitivity to bisoprolol or any formulation ingredients",rx; Prescription only,,,Tablet; Beta-Blocker; Beta-1 Selective,7,
pyrls,639e391cfcae6920598b53e2,Metoprolol,Lopressor (tartrate); Toprol XL (succinate); Kapspargo (succinate),Beta-Blocker; Beta-1 Selective,Other,oral,oral,,,,,,,,,,,Blocks beta-1 adrenergic receptors (cardioselective) causing decreased heart rate and myocardial contractility.,,"Treatment of hypertension; Long-term management of patients with angina pectoris , to reduce angina attacks and to improve exercise tolerance; Metoprolol succinate only : the treatment of stable, symptomatic (NYHA Class II or III) heart failure of ischemic, hypertensive, or cardiomyopathic origin to reduce mortality and hospitalization in patients already receiving angiotensin-converting enzyme inhibitors, diuretics, and/or digoxin.; Treatment of hemodynamically stable patients with definite or suspected acute myocardial infarction to reduce cardiovascular mortality when used alone or in conjunction with intravenous metoprolol","Hypersensitivity to metoprolol, other beta-blockers, or any formulation ingredients; Metoprolol tartrate: When used for hypertension and/or angina: Sinus bradycardia, heart block greater than first degree, cardiogenic shock, and overt cardiac failure, sick-sinus syndrome, severe peripheral arterial circulatory disorders When used for myocardial infarction: Heart rate < 45 beats/min; second- and third-degree heart block; significant first-degree heart block (P-R interval ≥ 0.24 sec); systolic blood pressure < 100 mmHg; or moderate to severe cardiac failure; Metoprolol succinate: Severe bradycardia, second or third degree heart block, cardiogenic shock, decompensated cardiac failure, sick sinus syndrome (unless a permanent pacemaker is in place)",rx; Prescription only,,,"Tablet (tartrate), extended release tablet (succinate), extended release capsule (succinate); Beta-Blocker; Beta-1 Selective",10,
pyrls,639e391cfcae6920598b53e3,Nebivolol,Bystolic,Beta-Blocker; Beta-1 Selective; Nitric Oxide-Dependent Vasodilator,Other,oral,oral,,,,,,,,,,,"Blocks beta-1 adrenergic receptors (cardioselective) causing decreased heart rate and myocardial contractility. Unlike other beta-blockers, nebivolol also produces a nitric oxide-dependent vasodilatory effect that reduces vascular resistance systemically.",,Treatment of hypertension,Severe bradycardia; heart block greater than first-degree; cardiogenic shock; decompensated heart failure; sick sinus syndrome (unless a permanent pacemaker is in place); severe hepatic impairment (Child-Pugh C); Hypersensitivity to nebivolol or any formulation ingredients,rx; Prescription only,,,Tablet; Beta-Blocker; Beta-1 Selective; Nitric Oxide-Dependent Vasodilator,7,
pyrls,639e391cfcae6920598b53e4,Nadolol,Corgard,Beta-Blocker; Beta-1 & Beta-2 Non-Selective,Other,oral,oral,,,,,,,,,,,Blocks beta-1 and beta-2 adrenergic receptors (non-selective) causing decreased heart rate and myocardial contractility.,,Treatment of hypertension; Long-term management of patients with angina pectoris,"Those with bronchial asthma, sinus bradycardia and greater than first degree conduction block, cardiogenic shock, or overt cardiac failure; Hypersensitivity to nadolol or any formulation ingredients",rx; Prescription only,,,Tablet; Beta-Blocker; Beta-1 & Beta-2 Non-Selective,7,
pyrls,639e391cfcae6920598b53e5,Pindolol,Visken,Beta-Blocker; Beta-1 & Beta-2 Non-Selective,Other,oral,oral,,,,,,,,,,,Blocks beta-1 and beta-2 adrenergic receptors (non-selective) causing decreased heart rate and myocardial contractility.,,Treatment of hypertension,"Those with bronchial asthma, severe bradycardia, second and third degree heart block, cardiogenic shock, or overt cardiac failure; Hypersensitivity to pindolol or any formulation ingredients",rx; Prescription only,,,Tablet; Beta-Blocker; Beta-1 & Beta-2 Non-Selective,7,
pyrls,639e391cfcae6920598b53e6,Propranolol,Inderal IR; LA & XR; InnoPran XL,Beta-Blocker; Beta-1 & Beta-2 Non-Selective,Other,oral,oral,,,,,,,,,,,Blocks beta-1 and beta-2 adrenergic receptors (non-selective) causing decreased heart rate and myocardial contractility.,,"Propranolol tablet Hypertension : management of hypertension. Angina Pectoris Due to Coronary Atherosclerosis : decrease angina frequency and increase exercise tolerance in patients with angina pectoris. Atrial Fibrillation : control ventricular rate in patients with atrial fibrillation and a rapid ventricular response. Myocardial Infarction : reduce cardiovascular mortality in patients who have survived the acute phase of myocardial infarction and are clinically stable. Migraine : prophylaxis of common migraine headache. Essential Tremor : management of familial or hereditary essential tremor. Hypertrophic Subaortic Stenosis : to improve NYHA functional class in symptomatic patients with hypertrophic subaortic stenosis. Pheochromocytoma : as an adjunct to alpha-adrenergic blockade to control blood pressure and reduce symptoms of catecholamine-secreting tumors.; Propranolol extended release capsule (Inderal LA) Hypertension : management of hypertension. Angina Pectoris Due to Coronary Atherosclerosis : decrease angina frequency and increase exercise tolerance in patients with angina pectoris. Migraine : prophylaxis of common migraine headache. Hypertrophic Subaortic Stenosis : to improve NYHA functional class in symptomatic patients with hypertrophic subaortic stenosis.; Propranolol extended release capsule (Inderal XL, InnoPran XL) Hypertension : management of hypertension.","Those with bronchial asthma, cardiogenic shock or decompensated heart failure, sinus bradycardia, sick sinus syndrome, and greater than first-degree block unless a permanent pacemaker is in place; Hypersensitivity to propranolol, beta-blockers, or any formulation ingredients",rx; Prescription only,,,"Tablet, extended release capsule, solution; Beta-Blocker; Beta-1 & Beta-2 Non-Selective",12,
pyrls,639e391cfcae6920598b53e7,Carvedilol,Coreg; Coreg CR,Beta-Blocker; Alpha-1 Blocker; Beta-1 & Beta-2 Non-Selective,Other,oral,oral,,,,,,,,,,,Blocks beta-1 and beta-2 adrenergic receptors (non-selective) causing decreased heart rate and myocardial contractility. Also blocks alpha-1 adrenergic receptors causing vasodilation and reducing peripheral vascular resistance.,,"To reduce cardiovascular mortality in clinically stable patients who have survived the acute phase of a myocardial infarction and have a left ventricular dysfunction : ejection fraction of less than or equal to 40% (with or without symptomatic heart failure); Treatment of mild-to-severe chronic heart failure of ischemic or cardiomyopathic origin, usually in addition to diuretics, ACE inhibitors, and digitalis, to increase survival and, also, to reduce the risk of hospitalization; Treatment of hypertension","Those with bronchial asthma or related bronchospastic conditions, second- or third-degree AV block, sick sinus syndrome, severe bradycardia (unless a permanent pacemaker is in place), patients with cardiogenic shock or who have decompensated heart failure requiring the use of intravenous inotropic therapy, patients with severe hepatic impairment; Hypersensitivity to carvedilol or any formulation ingredients",rx; Prescription only,,,"Tablet, extended release capsule; Beta-Blocker; Alpha-1 Blocker; Beta-1 & Beta-2 Non-Selective",8,
pyrls,639e391cfcae6920598b53e8,Labetalol,Normodyne; Trandate,Beta-Blocker; Alpha-1 Blocker; Beta-1 & Beta-2 Non-Selective,Other,oral,oral,,,,,,,,,,,Blocks beta-1 and beta-2 adrenergic receptors (non-selective) causing decreased heart rate and myocardial contractility. Also blocks alpha-1 adrenergic receptors causing vasodilation and reducing peripheral vascular resistance.,,Management of hypertension,"Those with bronchial asthma, overt cardiac failure, greater-than-first-degree heart block, cardiogenic shock, severe bradycardia, other conditions associated with severe and prolonged hypotension; Hypersensitivity to labetalol or any formulation ingredients",rx; Prescription only,,,Tablet; Beta-Blocker; Alpha-1 Blocker; Beta-1 & Beta-2 Non-Selective,9,
pyrls,639e391cfcae6920598b53e9,Levothyroxine,Synthroid; Levoxyl; Tirosint; Unithroid,Synthetic T4 Thyroid Hormone,Other,oral,oral,,,,,,,,,,,"Levothyroxine is a synthetic form of L-thyroxine (T4) , an endogenous hormone secreted by the thyroid gland. T4 is converted to its active metabolite, T3 (L-triiodothyronine). Thyroid hormones bind to thyroid hormone receptors on DNA, activating gene transcription and protein synthesis necessary in metabolic processes.",,"Replacement therapy in hypothyroidism : primary (thyroidal), secondary (pituitary), and tertiary (hypothalamic) congenital or acquired.; Use in pituitary thyrotropin (thyroid-stimulating hormone, TSH) suppression as an adjunct to surgery and radioiodine therapy in the management of thyrotropin-dependent well-differentiated thyroid cancer.",Patients with uncorrected adrenal insufficiency; Hypersensitivity to levothyroxine or any formulation ingredients,rx; Prescription only,,,"Capsule, tablet, solution; Synthetic T4 Thyroid Hormone",5,
pyrls,639e391cfcae6920598b53ea,Liothyronine,Cytomel; Triostat,Synthetic T3 Thyroid Hormone,Other,oral,oral,,,,,,,,,,,"Liothyronine is a synthetic form of T3 (L-triiodothyronine) , a thyroid hormone that is the active metabolite of T4 (L-thyroxine) which is secreted by the thyroid gland. Thyroid hormones bind to thyroid hormone receptors on DNA, activating gene transcription and protein synthesis necessary in metabolic processes.",,"Replacement therapy in hypothyroidism : primary (thyroidal), secondary (pituitary), and tertiary (hypothalamic) congenital or acquired.; Use in pituitary thyrotropin (thyroid-stimulating hormone, TSH) suppression as an adjunct to surgery and radioiodine therapy in the management of thyrotropin-dependent well-differentiated thyroid cancer.; Use for thyroid suppression testing as a diagnostic agent in suppression tests to differentiate suspected mild hyperthyroidism or thyroid gland autonomy.",Patients with uncorrected adrenal insufficiency; Hypersensitivity to liothyronine or any formulation ingredients,rx; Prescription only,,,Tablet; Synthetic T3 Thyroid Hormone,3,
