source,source_id,name,aliases,raw_classes,piru_category,default_route,routes,units,dose_threshold,dose_light,dose_common,dose_strong,dose_heavy,onset,peak,total_duration,half_life_min,mechanism_summary,effects,indications,contraindications,regulatory_status,cas_no,chemical_formula,tags,sources_count,notes
nps-datahub,efdec52d-294f-4651-a8af-91ca28f2b3b6,1B-LSD (solution),"(6aR,9R)-4-butanoyl-N,N-diethyl-7-methyl-6,6a,8,9-tetrahydroindolo[4,3-fg]quinoline-9-carboxamide; (6aR,9R)-4-butyryl-N,N-diethyl-7-methyl-4,6,6a,7,8,9-hexahydroindolo[4,3-fg]quinoline-9-carboxamide","2020/5.2 Δ9,10-Ergolene; 2021/5.2 Δ9,10-Ergolene; 2022/5.2 Δ9,10-Ergolene",Other,,,,,,,,,,,,,,,,,,2349376-12-9,C24H31N3O2,"2020/5.2 Δ9,10-Ergolene; 2021/5.2 Δ9,10-Ergolene; 2022/5.2 Δ9,10-Ergolene; Small molecule; 1B-LSD (solution) - C24H31N3O2 - 2349376-12-9",,"(6aR,9R)-4-butanoyl-N,N-diethyl-7-methyl-6,6a,8,9-tetrahydroindolo[4,3-fg]quinoline-9-carboxamide"
nps-datahub,906c1b0f-0732-4aa0-a335-1e1aa0f7117c,Retinoic acid,"3,7-dimethyl-9-(2,6,6-trimethyl-1-cyclohexenyl)nona-2,4,6,8-tetraenoic acid(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethyl-1-cyclohexenyl)nona-2,4,6,8-tetraenoic acid; (2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohex-1-en-1-yl)nona-2,4,6,8-tetraenoic acid",,Other,,,,,,,,,,,,,,,,,,302-79-4,C20H28O2,Small molecule; Retinoic acid - C20H28O2 - 302-79-4,,"3,7-dimethyl-9-(2,6,6-trimethyl-1-cyclohexenyl)nona-2,4,6,8-tetraenoic acid(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethyl-1-cyclohexenyl)nona-2,4,6,8-tetraenoic acid"
nps-datahub,d7e4bf1d-c351-479d-9e03-40b83a344b2f,WAY-316606,5-phenylsulfonyl-N-piperidin-4-yl-2-(trifluoromethyl)benzenesulfonamide; 5-(phenylsulfonyl)-N-4-piperidinyl-2-(trifluoromethyl)-benzenesulfonamide,,Other,,,,,,,,,,,,,,,,,,915759-45-4,C18H19F3N2O4S2,Small molecule; WAY-316606 - C18H19F3N2O4S2 - 915759-45-4,,5-phenylsulfonyl-N-piperidin-4-yl-2-(trifluoromethyl)benzenesulfonamide
nps-datahub,b80846c4-3120-4a39-b6b0-9bf2a59e813f,MMB-5F-P7AICA,"methyl 2-(((1-(5-fluoropentyl)-1H-pyrrolo[5,4-b]pyridin-3-yl)carbonyl)amino)-3-methylbutanoate","2020/2.1 Von Indol, Pyrazol und 4-Chinolon abgeleitete Verbindungen; 2021/2.1 Von Indol, Pyrazol und 4-Chinolon abgeleitete Verbindungen; 2022/2.1 Von Indol, Pyrazol und 4-Chinolon abgeleitete Verbindungen",Other,,,,,,,,,,,,,,,,,,,C19H26FN3O3,"2020/2.1 Von Indol, Pyrazol und 4-Chinolon abgeleitete Verbindungen; 2021/2.1 Von Indol, Pyrazol und 4-Chinolon abgeleitete Verbindungen; 2022/2.1 Von Indol, Pyrazol und 4-Chinolon abgeleitete Verbindungen; Small molecule; MMB-5F-P7AICA - C19H26FN3O3",,"methyl 2-(((1-(5-fluoropentyl)-1H-pyrrolo[5,4-b]pyridin-3-yl)carbonyl)amino)-3-methylbutanoate"
nps-datahub,c25502c9-fadf-43bb-9ee3-17b566a1eff9,MMB-CHM7AICA,"methyl 2-(((1-(cyclohexylmethyl)-1H-pyrrolo[2,3-b]pyridin-3-yl)carbonyl)amino)-3-methylbutanoate","2020/2.1 Von Indol, Pyrazol und 4-Chinolon abgeleitete Verbindungen; 2021/2.1 Von Indol, Pyrazol und 4-Chinolon abgeleitete Verbindungen; 2022/2.1 Von Indol, Pyrazol und 4-Chinolon abgeleitete Verbindungen",Other,,,,,,,,,,,,,,,,,,,C21H29N3O3,"2020/2.1 Von Indol, Pyrazol und 4-Chinolon abgeleitete Verbindungen; 2021/2.1 Von Indol, Pyrazol und 4-Chinolon abgeleitete Verbindungen; 2022/2.1 Von Indol, Pyrazol und 4-Chinolon abgeleitete Verbindungen; Small molecule; MMB-CHM7AICA - C21H29N3O3",,"methyl 2-(((1-(cyclohexylmethyl)-1H-pyrrolo[2,3-b]pyridin-3-yl)carbonyl)amino)-3-methylbutanoate"
nps-datahub,a450a1a2-bf2f-43ea-82b3-676daeec098a,2-Me-AP-237,hydrogen chloride 1-((2R)-2-methyl-4-((2E)-3-phenylprop-2-en-1-yl)piperazin-1-yl)butan-1-one (1:1:1),,Other,,,,,,,,,,,,,,,,,,98608-59-4,C18H27ClN2O,Small molecule; 2-Me-AP-237 - C18H27ClN2O - 98608-59-4,,hydrogen chloride 1-((2R)-2-methyl-4-((2E)-3-phenylprop-2-en-1-yl)piperazin-1-yl)butan-1-one (1:1:1)
nps-datahub,c589fefa-6d46-4c33-bf28-d0ee9ad3e70e,Cetilistat,"2-hexadecoxy-6-methyl-3,1-benzoxazin-4-one; 2-(Hexadecyloxy)-6-methyl-4H-3,1-benzoxazin-4-one",,Other,,,,,,,,,,,,,,,,,,282526-98-1,C25H39NO3,Small molecule; Cetilistat - C25H39NO3 - 282526-98-1,,"2-hexadecoxy-6-methyl-3,1-benzoxazin-4-one"
nps-datahub,d8e9292c-f77e-4d8d-9535-9f65c8a65b6f,MDMB-CHM7AICA,"methyl 2-(((1-(cyclohexylmethyl)-1H-pyrrolo[2,3-b]pyridin-3-yl)carbonyl)amino)-3,3-dimethylbutanoate","2020/2.1 Von Indol, Pyrazol und 4-Chinolon abgeleitete Verbindungen; 2021/2.1 Von Indol, Pyrazol und 4-Chinolon abgeleitete Verbindungen; 2022/2.1 Von Indol, Pyrazol und 4-Chinolon abgeleitete Verbindungen",Other,,,,,,,,,,,,,,,,,,,C22H31N3O3,"2020/2.1 Von Indol, Pyrazol und 4-Chinolon abgeleitete Verbindungen; 2021/2.1 Von Indol, Pyrazol und 4-Chinolon abgeleitete Verbindungen; 2022/2.1 Von Indol, Pyrazol und 4-Chinolon abgeleitete Verbindungen; Small molecule; MDMB-CHM7AICA - C22H31N3O3",,"methyl 2-(((1-(cyclohexylmethyl)-1H-pyrrolo[2,3-b]pyridin-3-yl)carbonyl)amino)-3,3-dimethylbutanoate"
nps-datahub,74ea80d3-8c97-48c6-a0d6-95826888c5f4,MDMB-FUB7AICA,"methyl 2-(((1-(4-fluorobenzyl)-1H-pyrrolo[2,3-b]pyridin-3-yl)carbonyl)amino)-3,3-dimethylbutanoate","Cannabinoids; 2020/2.1 Von Indol, Pyrazol und 4-Chinolon abgeleitete Verbindungen; 2021/2.1 Von Indol, Pyrazol und 4-Chinolon abgeleitete Verbindungen; 2022/2.1 Von Indol, Pyrazol und 4-Chinolon abgeleitete Verbindungen",Cannabinoid,,,,,,,,,,,,,,,,,,,C22H24FN3O3,"Cannabinoids; 2020/2.1 Von Indol, Pyrazol und 4-Chinolon abgeleitete Verbindungen; 2021/2.1 Von Indol, Pyrazol und 4-Chinolon abgeleitete Verbindungen; 2022/2.1 Von Indol, Pyrazol und 4-Chinolon abgeleitete Verbindungen; Small molecule; MDMB-FUB7AICA - C22H24FN3O3",,"methyl 2-(((1-(4-fluorobenzyl)-1H-pyrrolo[2,3-b]pyridin-3-yl)carbonyl)amino)-3,3-dimethylbutanoate"
nps-datahub,90a5e7ba-2581-448b-8fcf-bdb5322be495,Brorphine,3-{1-[1-(4-bromophenyl)ethyl]piperidin-4-yl}-1H-benzimidazol-2-one; 3-[1-[1-(4-bromophenyl)ethyl]piperidin-4-yl]-1H-benzimidazol-2-one,Opioids,Opioid,,,,,,,,,,,,,,,,,,2244737-98-0,C20H22BrN3O,Opioids; Small molecule; Brorphine - C20H22BrN3O - 2244737-98-0,,3-{1-[1-(4-bromophenyl)ethyl]piperidin-4-yl}-1H-benzimidazol-2-one
