name,source_group,has_binding,has_functional,has_biased,has_oligomers,has_downstream,has_neuroimaging,has_pk_routes,has_conc_effect,has_metabolism,has_drug_interactions,has_pgx,has_tolerance,has_off_targets,has_identifiers,confidence
AB-FUBINACA,cannabinoids,yes,no,no,no,yes,no,no,no,yes,no,yes,yes,no,yes,high
abrine,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
ABT-126,nootropics-other,no,yes,no,no,yes,no,no,no,no,no,yes,yes,no,no,medium
ABT-418,nootropics-other,no,no,no,no,yes,no,no,no,no,no,yes,yes,no,yes,low
ac-178335,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
Aceburic acid,gaba-depressants-other,no,no,no,no,yes,no,yes,no,yes,no,yes,yes,no,yes,low
Acetorphine,classical-opioids,no,no,no,no,yes,no,no,no,no,no,yes,yes,no,no,low
acetryptine,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
Acetyldihydrocodeine,classical-opioids,no,no,no,no,yes,no,no,no,no,no,yes,yes,no,no,low
Acetylfentanyl,designer-opioids,no,no,no,no,yes,no,no,no,yes,yes,yes,yes,yes,yes,medium
Acryl-fentanyl,designer-opioids,no,no,no,no,yes,no,no,no,no,no,yes,yes,no,yes,medium
Acrylfentanyl,designer-opioids,no,no,no,no,yes,no,no,no,yes,yes,yes,yes,yes,yes,medium
ADB-BUTINACA,cannabinoids,yes,no,no,no,yes,no,no,no,yes,no,yes,yes,no,yes,high
ADB-HEXINACA,cannabinoids,yes,no,no,no,yes,no,no,no,yes,no,yes,yes,no,no,medium
ADB-INACA,cannabinoids,yes,no,no,no,yes,no,no,no,no,no,yes,yes,no,no,low
ADB-PINACA,cannabinoids,yes,no,no,no,yes,no,no,no,yes,no,yes,yes,no,yes,high
ADB-PINACA isomer 2,cannabinoids,no,no,no,no,yes,no,no,no,no,no,yes,yes,no,no,low
ADBICA,cannabinoids,yes,no,no,no,yes,no,no,no,no,no,yes,yes,no,yes,high
Adderall,stimulants-amphetamines,no,no,no,no,yes,no,yes,no,yes,yes,yes,no,no,no,high
Adinazolam,benzos-and-z-drugs,no,no,no,no,yes,no,yes,no,yes,no,no,no,no,yes,high
Adrafinil,stimulants-dat-inhibitors,no,no,no,no,yes,no,yes,no,yes,no,no,no,yes,yes,medium
afamelanotide,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
Afloqualone,gaba-depressants-other,no,no,no,no,yes,no,no,no,no,no,yes,yes,no,yes,low
Agmatine,nootropics-other,yes,no,no,no,yes,no,yes,no,yes,no,yes,yes,no,yes,medium
Ah-7921,designer-opioids,no,yes,no,no,yes,no,no,no,yes,no,yes,yes,no,yes,medium
AHN 1-055,stimulants-dat-inhibitors,yes,no,no,no,yes,no,no,no,no,no,no,no,yes,no,medium
AL-LAD,serotonergic-tryptamines-and-lsd,yes,yes,no,no,yes,no,no,no,no,no,yes,yes,no,yes,medium
Alcohol,gaba-depressants-other,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,high
Ald-52,serotonergic-tryptamines-and-lsd,yes,yes,no,no,yes,no,no,no,yes,no,yes,yes,no,yes,medium
Alfentanil,designer-opioids,yes,no,no,no,yes,no,yes,no,yes,yes,yes,yes,no,yes,high
Allobarbital,gaba-depressants-other,no,no,no,no,yes,no,no,no,no,no,yes,yes,no,yes,low
Allylketamine,arylcyclohexylamines,no,no,no,no,yes,no,no,no,no,no,yes,yes,no,no,low
"alpha,alpha-Dimethylindole-3-acetonitrile",serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
"alpha,beta-didehydrotryptophan",serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
Alpha-GPC,nootropics-other,no,no,no,no,yes,no,yes,no,yes,yes,yes,yes,no,yes,medium
alpha-Methyl-5-hydroxytryptamine maleate,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
alpha-Methyltryptamine,serotonergic-tryptamines-and-lsd,no,yes,no,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,medium
alpha-methyltryptophan,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
"alpha-N,N-trimethyltryptamine",serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
alpha-PHP,stimulants-cathinones,yes,no,no,no,yes,no,no,no,yes,no,yes,yes,yes,yes,high
alpha-PiHP,stimulants-cathinones,yes,no,no,no,yes,no,yes,no,yes,no,yes,yes,no,yes,high
alpha-PVP,stimulants-cathinones,yes,no,no,no,yes,no,yes,no,yes,no,yes,yes,yes,yes,high
alpha-Pyrrolidinohexiophenone,stimulants-cathinones,no,no,no,no,yes,no,no,no,no,no,yes,yes,no,yes,high
Alprazolam,benzos-and-z-drugs,yes,yes,no,no,yes,no,yes,no,yes,yes,yes,yes,no,yes,high
alsactide,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
AM-1248,cannabinoids,yes,no,no,no,yes,no,no,no,no,no,yes,yes,no,yes,medium
AM-2201,cannabinoids,yes,no,no,no,yes,no,no,no,yes,no,yes,yes,no,yes,high
AM-2233,serotonergic-phenethylamine-psychedelics,yes,no,no,no,yes,no,no,no,no,no,no,no,no,yes,high
AM-694,serotonergic-phenethylamine-psychedelics,yes,no,no,no,yes,no,no,no,no,no,no,no,no,yes,high
AMB-CHMICA,cannabinoids,yes,no,no,no,yes,no,no,no,yes,no,yes,yes,no,yes,high
AMB-FUBINACA (AMB) — augmentation plan and justifications BEFORE JSON changes,cannabinoids,yes,no,no,no,yes,no,yes,no,yes,no,yes,yes,no,yes,high
Amfepramone,stimulants-cathinones,yes,no,no,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,high
Amfonelic acid,stimulants-dat-inhibitors,yes,no,no,no,yes,no,no,no,no,no,no,no,no,yes,medium
Aminorex,stimulants-amphetamines,no,yes,no,no,yes,no,no,no,no,no,no,no,yes,yes,high
Amobarbital,gaba-depressants-other,no,no,no,no,yes,no,yes,no,yes,yes,yes,yes,no,yes,medium
Amphetamine,stimulants-amphetamines,yes,yes,no,no,yes,yes,yes,no,yes,no,yes,no,yes,yes,high
anamorelin,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
Aniracetam,serotonergic-phenethylamine-psychedelics,yes,no,no,no,yes,no,yes,no,yes,no,no,no,no,yes,high
Apomorphine,classical-opioids,yes,no,no,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,high
app-018,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
Arketamine,arylcyclohexylamines,yes,no,no,no,yes,yes,yes,no,yes,no,yes,yes,no,yes,high
Armodafinil,stimulants-dat-inhibitors,yes,yes,no,no,yes,yes,yes,no,yes,yes,no,no,no,yes,high
arvelexin,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
Ashwagandha,gaba-depressants-other,no,yes,no,no,yes,no,yes,no,no,no,yes,yes,yes,no,medium
Aspirin,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
Atomoxetine,stimulants-dat-inhibitors,yes,no,no,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,high
Atropine,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
Avizafone,benzos-and-z-drugs,no,no,no,no,yes,no,yes,no,yes,no,no,no,no,yes,medium
avorelin acetate,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
Ayahuasca,mdma-and-entactogens,no,no,no,no,yes,no,no,no,no,no,yes,yes,no,no,high
azagly-nafarelin,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
Baclofen,gaba-depressants-other,yes,yes,no,yes,yes,no,yes,no,yes,yes,yes,yes,no,yes,high
Barbital,gaba-depressants-other,no,no,no,no,yes,no,yes,no,yes,no,yes,yes,no,yes,medium
BC-264,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
Befuraline,prescription-psychiatrics,no,no,no,no,yes,no,no,no,yes,no,yes,yes,no,yes,low
Bentazepam,benzos-and-z-drugs,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,low
Benzodioxole-fentanyl,designer-opioids,no,no,no,no,yes,no,no,no,yes,no,yes,yes,yes,no,low
Benzphetamine,stimulants-amphetamines,no,no,no,no,yes,no,yes,no,yes,no,no,no,no,yes,medium
beta-hydroxytryptophane,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
Bisfluoromodafinil,stimulants-dat-inhibitors,yes,no,no,no,yes,no,no,no,no,no,no,no,no,yes,medium
Bk-2c-b,serotonergic-phenethylamine-psychedelics,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,low
Bk-2c-i,serotonergic-phenethylamine-psychedelics,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,low
Boc-L-tryptophan N-hydroxysuccinimide ester,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
BOH,mdma-and-entactogens,no,no,no,no,yes,no,no,no,no,no,yes,yes,no,no,low
BPC-157,nootropics-other,no,yes,no,no,yes,no,yes,no,no,no,yes,yes,no,yes,low
Brasofensine,stimulants-dat-inhibitors,yes,no,no,no,yes,no,no,no,no,no,no,no,no,yes,medium
Brephedrone,stimulants-cathinones,yes,no,no,no,yes,no,no,no,no,no,yes,yes,yes,yes,low
Brivaracetam,ampakines-and-racetams,yes,no,no,no,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,high
Bromadol,classical-opioids,yes,no,no,no,yes,no,no,no,no,no,yes,yes,yes,yes,low
Bromantane,nootropics-other,no,yes,no,no,yes,no,yes,no,no,no,yes,yes,yes,yes,medium
Bromazepam,benzos-and-z-drugs,no,no,no,no,yes,no,yes,no,yes,yes,yes,yes,no,yes,high
Bromazolam,benzos-and-z-drugs,no,no,no,no,yes,no,no,no,yes,no,no,no,no,yes,medium
Bromo-dragonfly,serotonergic-phenethylamine-psychedelics,yes,no,no,no,yes,no,yes,no,yes,yes,no,yes,yes,yes,high
Bromoketamine,arylcyclohexylamines,no,no,no,no,yes,no,no,no,no,no,yes,yes,no,no,low
Brorphine,designer-opioids,yes,yes,yes,no,yes,no,no,no,yes,no,yes,yes,no,yes,high
Brotizolam,benzos-and-z-drugs,no,no,no,no,yes,no,yes,no,yes,no,no,no,no,yes,medium
BTCP,arylcyclohexylamines,yes,no,no,no,yes,no,no,no,yes,no,yes,yes,no,yes,high
Bufotenin,serotonergic-tryptamines-and-lsd,yes,yes,no,no,yes,no,yes,no,yes,no,yes,yes,yes,yes,medium
bufotenine,serotonergic-tryptamines-and-lsd,no,no,no,no,yes,no,no,no,no,no,yes,yes,no,yes,medium
bufoviridine,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
Buphedrone,stimulants-cathinones,yes,no,no,no,yes,no,no,no,no,no,yes,yes,no,yes,medium
Buprenorphine,classical-opioids,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,high
Bupropion,stimulants-dat-inhibitors,yes,yes,no,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,high
buserelin,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
Butonitazene,designer-opioids,yes,no,no,no,yes,no,no,no,no,no,yes,yes,no,yes,high
Butorphanol,classical-opioids,yes,no,no,no,yes,no,yes,no,yes,no,yes,yes,yes,yes,medium
Butylcathinone,stimulants-cathinones,no,no,no,no,yes,no,no,no,no,no,yes,yes,no,no,low
Butylone,stimulants-cathinones,yes,no,no,no,yes,no,no,no,no,no,yes,yes,no,yes,high
Butyrfentanyl,designer-opioids,yes,no,no,no,yes,no,no,no,yes,yes,yes,yes,yes,yes,high
C-Glycosyltryptophan,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
C30-nbome,serotonergic-phenethylamine-psychedelics,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,low
Camazepam,serotonergic-phenethylamine-psychedelics,yes,no,no,no,yes,no,yes,no,yes,no,no,yes,no,yes,high
Canket,arylcyclohexylamines,no,no,no,no,yes,no,no,no,no,no,yes,yes,no,no,low
Cannabichromene,cannabinoids,yes,no,no,no,yes,no,no,no,yes,no,yes,yes,yes,yes,medium
Cannabidiolic acid,cannabinoids,yes,no,no,no,yes,no,no,no,yes,no,yes,yes,yes,yes,medium
Cannabigerol,cannabinoids,yes,no,no,no,yes,no,no,no,no,no,yes,yes,no,yes,medium
Cannabis,cannabinoids,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,high
Carfentanil,designer-opioids,yes,yes,yes,no,yes,yes,yes,no,yes,no,yes,yes,yes,yes,high
Carisoprodol,gaba-depressants-other,yes,no,no,no,yes,no,yes,no,yes,yes,yes,yes,no,yes,high
CBDV,cannabinoids,yes,no,no,no,yes,no,yes,no,no,no,yes,yes,no,yes,medium
CBN,cannabinoids,yes,no,no,no,yes,no,yes,no,yes,no,yes,yes,no,yes,medium
CBNA,cannabinoids,no,no,no,no,yes,no,no,no,yes,no,yes,yes,no,yes,low
cbp-501,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
CCK-4,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
CE-123,stimulants-dat-inhibitors,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,medium
Centrophenoxine,nootropics-other,no,no,no,no,yes,no,yes,no,yes,no,yes,yes,no,yes,low
Cerebrolysin,nootropics-other,no,no,no,no,yes,no,yes,no,no,no,yes,yes,no,yes,medium
ceruletide,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
ceruletide diethylamine,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
cgs-35601,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
Chloral Hydrate,gaba-depressants-other,yes,no,no,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,high
Chloral-betaine,gaba-depressants-other,no,no,no,no,yes,no,no,no,no,no,yes,yes,no,yes,medium
Chlordiazepoxide,benzos-and-z-drugs,no,no,no,no,yes,no,yes,no,yes,no,yes,yes,no,yes,high
Chloroform,gaba-depressants-other,no,no,no,no,yes,no,yes,no,yes,no,yes,yes,yes,yes,medium
Chlorpheniramine,deliriants-anticholinergics,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,high
CI-1015,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
cinnamoyl tryptamine,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
Cinolazepam,benzos-and-z-drugs,no,no,no,no,yes,no,yes,no,no,no,no,no,no,yes,low
Citalopram,prescription-psychiatrics,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,high
Citicoline,nootropics-other,no,no,no,no,yes,no,yes,no,no,no,yes,yes,no,yes,medium
Clobazam,benzos-and-z-drugs,no,no,no,no,yes,no,yes,no,yes,yes,yes,yes,no,yes,high
Clobromazolam,benzos-and-z-drugs,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,medium
Clomethiazole,gaba-depressants-other,no,no,no,no,yes,no,yes,no,yes,yes,yes,yes,no,yes,medium
Clonazepam,benzos-and-z-drugs,yes,no,no,no,yes,no,yes,no,yes,yes,yes,yes,no,yes,high
Clonazolam,benzos-and-z-drugs,no,no,no,no,yes,no,no,no,yes,no,no,yes,no,yes,medium
Clonidine,gaba-depressants-other,yes,no,no,no,yes,no,yes,no,yes,yes,yes,yes,no,yes,high
Cloniprazepam,benzos-and-z-drugs,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,low
Clonitazene,designer-opioids,yes,no,no,no,yes,no,no,no,no,no,yes,yes,no,yes,high
Clorazepate,benzos-and-z-drugs,no,no,no,no,yes,no,yes,no,yes,yes,yes,no,no,yes,high
Clotiazepam,benzos-and-z-drugs,no,no,no,no,yes,no,yes,no,yes,no,no,no,no,yes,low
Cloxazolam,benzos-and-z-drugs,no,no,no,no,yes,no,no,no,yes,no,no,no,no,yes,low
Cocaine,stimulants-dat-inhibitors,yes,yes,no,no,yes,yes,yes,yes,yes,no,no,no,yes,yes,high
Codeine,classical-opioids,yes,no,no,no,yes,no,yes,no,yes,yes,yes,yes,no,yes,high
Coluracetam,ampakines-and-racetams,no,yes,no,no,yes,no,no,no,no,no,yes,yes,no,yes,low
Crack,stimulants-dat-inhibitors,no,no,no,no,yes,no,yes,no,no,no,no,no,no,yes,high
"CRL-40,941",stimulants-dat-inhibitors,no,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,low
CX-1739,ampakines-and-racetams,no,yes,no,no,yes,no,yes,yes,no,no,yes,yes,no,yes,low
CX-1942,ampakines-and-racetams,no,no,no,no,yes,no,no,no,no,no,yes,yes,no,no,low
CX-516,ampakines-and-racetams,no,yes,no,no,yes,no,yes,no,no,no,yes,yes,yes,yes,medium
CX-546,ampakines-and-racetams,no,yes,no,no,yes,no,no,no,no,no,yes,yes,no,yes,medium
CX-614,ampakines-and-racetams,no,yes,no,no,yes,no,no,no,no,no,yes,yes,yes,yes,high
CX-691,ampakines-and-racetams,no,yes,no,no,yes,yes,yes,yes,no,no,yes,yes,yes,yes,medium
CX-717,ampakines-and-racetams,no,yes,no,no,yes,yes,yes,no,no,no,yes,yes,no,yes,medium
Cyclazodone,stimulants-amphetamines,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,low
Cyclizine,gaba-depressants-other,no,no,no,no,yes,no,yes,no,yes,no,yes,yes,no,yes,medium
Cyclo-methiodrone,mdma-and-entactogens,no,no,no,no,yes,no,no,no,no,no,yes,yes,no,no,low
Cyclobenzaprine,gaba-depressants-other,yes,no,no,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,medium
Cyclobutylketamine,arylcyclohexylamines,no,no,no,no,yes,no,no,no,no,no,yes,yes,no,no,low
Cyclopentyl-fentanyl,designer-opioids,no,no,no,no,yes,no,no,no,yes,yes,yes,yes,yes,no,low
Cyclopropylketamine,arylcyclohexylamines,no,no,no,no,yes,no,no,no,no,no,yes,yes,no,no,low
Cyputylone,stimulants-cathinones,no,no,no,no,yes,no,no,no,no,no,yes,yes,no,no,low
Cys(IAN)-Gly,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
Cytisine,nootropics-other,yes,no,no,no,yes,no,yes,no,no,no,yes,yes,no,yes,high
D-5-hydroxytryptophan,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
D-methamphetamine,stimulants-amphetamines,no,yes,no,no,yes,no,yes,no,yes,no,no,no,no,yes,high
D-synephrine(1+),stimulants-amphetamines,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,low
D-Tryptophan,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
D-Tryptophan methyl ester hydrochloride,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
D-tryptophanate,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
D-tryptophanium,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
D-Tryptophyl-D-tryptophan,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
dacinostat,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
Dasotraline,stimulants-dat-inhibitors,yes,no,no,no,yes,no,yes,no,no,no,no,no,no,yes,high
Datura,gaba-depressants-other,no,no,no,no,yes,no,no,no,no,no,yes,yes,no,no,high
DBT,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
Dehydronorketamine,arylcyclohexylamines,yes,yes,no,no,no,no,no,no,no,no,yes,yes,no,yes,medium
Delorazepam,benzos-and-z-drugs,no,no,no,no,yes,no,yes,no,yes,no,no,no,no,yes,medium
Demerol,classical-opioids,yes,no,no,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,high
deoxyepinephrine,stimulants-amphetamines,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,medium
Deoxymethoxetamine,arylcyclohexylamines,no,no,no,no,yes,no,no,no,no,no,yes,yes,no,yes,low
dermaseptin s3(1-16)-NH2,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
Deschloroetizolam,benzos-and-z-drugs,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,low
Deschloroketamine,arylcyclohexylamines,yes,yes,no,no,yes,no,yes,no,yes,no,yes,yes,no,yes,high
desglymidodrine,gaba-depressants-other,no,no,no,no,yes,no,no,no,no,no,yes,yes,no,yes,high
Desmethylflunitrazepam,benzos-and-z-drugs,no,no,no,no,yes,no,no,no,yes,no,no,no,no,yes,low
Desomorphine,classical-opioids,yes,no,no,no,yes,no,yes,no,yes,no,yes,yes,yes,yes,medium
DESOXY,stimulants-amphetamines,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,low
Desoxyfructose-5-methoxytryptamine,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
DET,serotonergic-tryptamines-and-lsd,yes,yes,no,no,yes,no,yes,no,yes,no,yes,yes,yes,yes,low
Dexedrine,stimulants-amphetamines,no,no,no,no,yes,no,yes,no,no,no,no,no,no,yes,high
Dextroamphetamine,stimulants-amphetamines,no,yes,no,no,yes,yes,yes,no,yes,yes,yes,no,no,yes,high
Dextromethorphan,other-dissociatives,yes,no,no,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,high
Dextromethorphan Hydrobromide,other-dissociatives,no,no,no,no,yes,no,yes,no,yes,no,yes,yes,yes,yes,high
Dextropropoxyphene,classical-opioids,yes,no,no,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,high
Diazepam,benzos-and-z-drugs,yes,no,no,no,yes,yes,yes,no,yes,yes,yes,yes,no,yes,high
Dibutylone,stimulants-cathinones,yes,no,no,no,yes,no,no,no,yes,no,yes,yes,no,yes,medium
Diclazepam,benzos-and-z-drugs,no,no,no,no,yes,no,yes,no,yes,no,no,no,no,yes,high
didemnidine A,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
Didemnidine B,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
Diethyl-ether,gaba-depressants-other,no,no,no,no,yes,no,yes,no,no,no,yes,yes,no,yes,medium
Dihexa,nootropics-other,no,yes,no,no,yes,no,no,no,no,no,yes,yes,yes,yes,low
Dihydrocodeine,classical-opioids,yes,no,no,no,yes,no,yes,no,yes,yes,yes,yes,no,yes,medium
Dimemebfe,mdma-and-entactogens,no,no,no,no,yes,no,no,no,no,no,yes,yes,no,no,low
Dimenhydrinate,gaba-depressants-other,no,no,no,no,yes,no,no,no,no,no,yes,yes,no,yes,high
Dimethylketamine,arylcyclohexylamines,no,no,no,no,yes,no,no,no,no,no,yes,yes,no,no,low
Dimethylone,stimulants-cathinones,yes,no,no,no,yes,no,no,no,no,no,yes,yes,no,yes,low
Dimethylpentylone,stimulants-cathinones,yes,no,no,no,yes,no,no,no,yes,no,yes,yes,no,yes,medium
dimethyltryptamine fumarate,serotonergic-tryptamines-and-lsd,no,no,no,no,yes,no,yes,no,yes,no,yes,yes,no,no,medium
DIMETHYLTRYPTAMINE HYDROCHLORIDE,serotonergic-tryptamines-and-lsd,no,no,no,no,yes,no,no,no,no,no,yes,yes,no,no,medium
dimethyltryptamine methiodide,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
Dimethyltryptamine-N-oxide,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
Dimiracetam,ampakines-and-racetams,no,no,no,no,yes,no,no,no,no,no,yes,yes,no,yes,low
Dipentylone,stimulants-cathinones,no,no,no,no,yes,no,no,no,no,no,yes,yes,no,yes,medium
Diphenhydramine,gaba-depressants-other,yes,no,no,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,high
Diphenidine,other-dissociatives,yes,yes,no,no,yes,no,no,no,yes,no,yes,yes,yes,yes,medium
Dipipanone,classical-opioids,yes,no,no,no,yes,no,yes,no,yes,no,yes,yes,yes,yes,medium
DIPT,serotonergic-tryptamines-and-lsd,yes,no,no,no,yes,no,no,no,no,no,yes,yes,no,yes,low
Disitertide,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
Divinatorin A,dysdelics-and-kor-ligands,yes,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
Divinatorin B,dysdelics-and-kor-ligands,yes,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
Dizocilpine,other-dissociatives,yes,no,no,no,yes,no,yes,no,yes,no,yes,yes,yes,yes,high
DL-5-fluorotryptophan,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
DL-5-hydroxytryptophan,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
DL-6-fluorotryptophan,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
DL-acetyltryptophan,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
DL-methamphetamine,stimulants-amphetamines,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,high
DL-tryptophan,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
DL-Tryptophan methyl ester hydrochloride,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
DL-tryptophanol,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
Dmaa,stimulants-amphetamines,no,no,no,no,yes,no,yes,no,no,no,no,no,yes,yes,medium
DMAE,gaba-depressants-other,no,no,no,no,yes,no,no,no,no,no,yes,yes,no,yes,low
DMCPA,serotonergic-phenethylamine-psychedelics,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,low
DMHA,stimulants-amphetamines,no,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,low
DMMDA,mdma-and-entactogens,no,no,no,no,yes,no,no,no,no,no,yes,yes,no,no,low
DMMDA-2,mdma-and-entactogens,no,no,no,no,yes,no,no,no,no,no,yes,yes,no,no,low
DMT,serotonergic-tryptamines-and-lsd,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,high
DMXE,arylcyclohexylamines,yes,no,no,no,no,no,no,no,no,no,yes,yes,no,yes,low
DMXM,arylcyclohexylamines,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
