name,source_group,has_binding,has_functional,has_biased,has_oligomers,has_downstream,has_neuroimaging,has_pk_routes,has_conc_effect,has_metabolism,has_drug_interactions,has_pgx,has_tolerance,has_off_targets,has_identifiers,confidence
4-MBC,stimulants-cathinones,no,no,no,no,yes,no,no,no,no,no,yes,yes,no,yes,low
4-Me-NEB,stimulants-cathinones,no,no,no,no,yes,no,no,no,no,no,yes,yes,no,no,low
4-Me-αMT,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
4-MEC,stimulants-cathinones,yes,no,no,no,yes,no,no,no,no,no,yes,yes,no,yes,high
4-meo-butryfentanyl,designer-opioids,no,no,no,no,yes,no,no,no,no,no,yes,yes,no,yes,low
4-MEO-MIPT,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
4-meo-pcp,arylcyclohexylamines,yes,no,no,no,no,no,no,no,no,no,yes,yes,no,yes,medium
4-Methoxybutyrfentanyl,designer-opioids,no,no,no,no,yes,no,no,no,yes,yes,yes,yes,yes,yes,low
4-methoxyglucobrassicin,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
4-methoxytryptamine,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
4-Methyl-α-ethyltryptamine,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
4-methylaminorex,stimulants-amphetamines,no,yes,no,no,yes,no,yes,no,no,no,no,no,yes,yes,high
4-methylmethylphenidate,stimulants-dat-inhibitors,no,no,no,no,no,no,no,no,no,no,no,no,no,no,low
4-Methylphenmetrazine,stimulants-dat-inhibitors,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,medium
4-Methylthioamphetamine,stimulants-amphetamines,yes,yes,no,no,yes,no,no,no,yes,no,no,no,yes,yes,high
4-methylthiodimethyltryptamine,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
4-mta,stimulants-amphetamines,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,high
4-Nitro-5-methoxytryptamine,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
